0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,ReportDate
,,"AUC  as on June 15, 2012","AUC  as on June 15, 2012","AUC  as on June 15, 2012","AUC  as on June 15, 2012","AUC  as on June 15, 2012","AUC  as on June 15, 2012","Net  Investment  June 1-15, 2012","Net  Investment  June 1-15, 2012","Net  Investment  June 1-15, 2012","Net  Investment  June 1-15, 2012","Net  Investment  June 1-15, 2012","Net  Investment  June 1-15, 2012","Net  Investment  June 16-30, 2012","Net  Investment  June 16-30, 2012","Net  Investment  June 16-30, 2012","Net  Investment  June 16-30, 2012","Net  Investment  June 16-30, 2012","Net  Investment  June 16-30, 2012","AUC  as on June 30, 2012","AUC  as on June 30, 2012","AUC  as on June 30, 2012","AUC  as on June 30, 2012","AUC  as on June 30, 2012","AUC  as on June 30, 2012","June 30, 2012"
,,IN  INR Cr.,IN  INR Cr.,IN  INR Cr.,IN  USD Mn,IN  USD Mn,IN  USD Mn,IN  INR Cr.,IN  INR Cr.,IN  INR Cr.,IN  USD Mn,IN  USD Mn,IN  USD Mn,IN  INR Cr.,IN  INR Cr.,IN  INR Cr.,IN  USD Mn,IN  USD Mn,IN  USD Mn,IN  INR Cr.,IN  INR Cr.,IN  INR Cr.,IN  USD Mn,IN  USD Mn,IN  USD Mn,"June 30, 2012"
Sr. No.,Sectors,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,"June 30, 2012"
"Empire Industries Ltd.,","Empire Industries Ltd.,","Empire Industries Ltd.,","Empire Industries Ltd.,",,,,,,,,,,,,,,,,,,,,,,,"June 30, 2012"
BALMER LAWRI,BALMER LAWRI,BALMER LAWRI,BALMER LAWRI,,,,,,,,,,,,,,,,,,,,,,,"June 30, 2012"
3M INDIA LTD,3M INDIA LTD,3M INDIA LTD,3M INDIA LTD,,,,,,,,,,,,,,,,,,,,,,,"June 30, 2012"
,,,,,,,,,,,,,,,,,,,,,,,,,,"June 30, 2012"
"3Sub-category under ""Utilities"" are as follows:  - Electric Utilities  - Other Utilities (Including  Pipelines)","3Sub-category under ""Utilities"" are as follows:  - Electric Utilities  - Other Utilities (Including  Pipelines)","3Sub-category under ""Utilities"" are as follows:  - Electric Utilities  - Other Utilities (Including  Pipelines)","3Sub-category under ""Utilities"" are as follows:  - Electric Utilities  - Other Utilities (Including  Pipelines)",,,,,,,,,,,,,,,,,,,,,,,"June 30, 2012"
"3Sub-category under ""Utilities"" are as follows:  - Electric Utilities  - Other Utilities (Including  Pipelines)","3Sub-category under ""Utilities"" are as follows:  - Electric Utilities  - Other Utilities (Including  Pipelines)","3Sub-category under ""Utilities"" are as follows:  - Electric Utilities  - Other Utilities (Including  Pipelines)","3Sub-category under ""Utilities"" are as follows:  - Electric Utilities  - Other Utilities (Including  Pipelines)",,,,,,,,,,,,,,,,,,,,,,,"June 30, 2012"
"3Sub-category under ""Utilities"" are as follows:  - Electric Utilities  - Other Utilities (Including  Pipelines)","3Sub-category under ""Utilities"" are as follows:  - Electric Utilities  - Other Utilities (Including  Pipelines)","3Sub-category under ""Utilities"" are as follows:  - Electric Utilities  - Other Utilities (Including  Pipelines)","3Sub-category under ""Utilities"" are as follows:  - Electric Utilities  - Other Utilities (Including  Pipelines)",,,,,,,,,,,,,,,,,,,,,,,"June 30, 2012"
,,,,,,,,,,,,,,,,,,,,,,,,,,"June 30, 2012"
4AUC of Top 10 companies under Others Category in Debt is as below,4AUC of Top 10 companies under Others Category in Debt is as below,4AUC of Top 10 companies under Others Category in Debt is as below,4AUC of Top 10 companies under Others Category in Debt is as below,4AUC of Top 10 companies under Others Category in Debt is as below,,,,,,,,,,,,,,,,,,,,,,"June 30, 2012"
Sr. No.,Companies,"As on June 30,  2012 in INR Cr.",Companies,As on June 15  2012 in INR Cr.,,,,,,,,,,,,,,,,,,,,,,"June 30, 2012"
1,NABARD,9203,NABARD,9556,,,,,,,,,,,,,,,,,,,,,,"June 30, 2012"
2,Exim Bank,7990,Exim Bank,7389,,,,,,,,,,,,,,,,,,,,,,"June 30, 2012"
3,National Housing Bank,4695,National Hou,4414,,,,,,,,,,,,,,,,,,,,,,"June 30, 2012"
4,SIDBI,2870,SIDBI,2920,,,,,,,,,,,,,,,,,,,,,,"June 30, 2012"
5,EMGFL Ltd,2332,EMGFL Ltd,2332,,,,,,,,,,,,,,,,,,,,,,"June 30, 2012"
6,J.P.MORGAN CP,2000,J.P.MORGA,2000,,,,,,,,,,,,,,,,,,,,,,"June 30, 2012"
